,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,0.298,30.29,31.0,31.3,30.19,30.2,10055392,8.72864,308064119,54.089,5.38,872352.0,348940.8
1,603998,方盛制药,3.695,17.96,17.33,18.5,17.33,17.32,5287210,1.96421,95341877,28.063,8.508,777680.06912,483442.28712
2,603997,继峰股份,0.286,21.04,21.12,21.27,20.78,20.98,3012317,2.64238,63273111,47.818,6.07,883680.0,239856.0
3,603996,中新科技,3.904,21.29,21.23,21.9,21.23,20.49,7728388,7.48331,165251840,29.569,4.774,639019.35,219872.475
4,603993,洛阳钼业,0.772,5.22,5.17,5.45,5.17,5.18,208954270,1.61308,1109157314,104.4,0.989,8815117.72088,6761847.42488
5,603990,麦迪科技,-0.255,50.94,50.97,51.33,50.68,51.07,846183,4.23091,43081974,78.369,15.53,407520.0,101880.0
6,603989,艾华集团,-0.659,34.68,34.85,35.11,34.56,34.91,583408,0.69145,20298826,39.862,6.056,1040400.0,292612.5
7,603988,中电电机,0.355,73.41,73.15,73.68,72.85,73.15,309100,1.37991,22639748,138.509,9.08,587280.0,164438.4
8,603987,康德莱,-1.156,29.93,30.17,30.61,29.75,30.28,2704140,5.14095,81476334,49.883,7.109,629397.97,157431.8
9,603986,兆易创新,0.0,177.97,0.0,0.0,0.0,177.97,0,0.0,0,84.748,14.389,1779700.0,444925.0
10,603979,金诚信,0.052,19.19,19.15,19.29,19.15,19.18,1761220,0.9416,33879389,30.46,2.361,863550.0,358942.0416
11,603977,国泰集团,0.823,26.95,26.75,27.28,26.66,26.73,3169709,5.73392,85523891,45.678,6.812,595810.6,148979.6
12,603969,银龙股份,0.138,14.5,14.45,14.65,14.42,14.48,1466961,0.96112,21347022,43.939,3.746,580000.0,221314.225
13,603968,醋化股份,-0.972,24.46,24.62,24.72,24.36,24.7,1211300,0.88675,29652971,42.912,4.055,500158.08,334123.6
14,603966,法兰泰克,-1.565,28.93,29.35,29.6,28.68,29.39,4826554,12.06639,140115580,64.289,7.022,462880.0,115720.0
15,603959,百利科技,0.298,26.95,26.87,27.16,26.63,26.87,781545,1.39562,21072420,59.889,7.352,603680.0,150920.0
16,603958,哈森股份,-1.007,27.53,27.8,28.03,27.53,27.81,1532099,2.81854,42532262,37.661,5.223,598392.08,149647.150038
17,603939,益丰药房,-1.318,29.2,29.65,29.78,29.17,29.59,551600,0.35357,16200709,50.871,3.656,1059068.40136,455543.36
18,603936,博敏电子,-0.334,29.86,29.98,30.14,29.82,29.96,749630,1.33624,22458863,61.44,5.431,499707.1,167514.6
19,603929,亚翔集成,3.259,32.0,30.82,32.79,30.81,30.99,9493381,17.79119,301166799,64.0,7.711,682752.0,170752.0
20,603928,兴业股份,-1.689,26.77,27.04,27.42,26.43,27.23,4913074,9.74816,131980338,37.181,7.177,539683.2,134920.8
21,603919,金徽酒,0.177,28.24,28.27,28.41,28.06,28.19,1111363,1.58766,31381197,35.747,5.004,790720.0,197680.0
22,603918,金桥信息,-0.031,32.3,32.0,32.78,32.0,32.31,2366902,1.91894,76679807,68.723,12.446,568480.0,398401.12
23,603909,合诚股份,-1.273,45.76,46.25,46.62,45.71,46.35,690504,2.76202,31849082,64.752,8.211,457600.0,114400.0
24,603901,永创智能,-0.28,14.24,14.28,14.4,14.24,14.28,1185700,0.76994,16993173,35.6,6.513,569600.0,219296.0
25,603900,通灵珠宝,1.366,37.84,37.3,38.22,37.11,37.33,4191495,6.89403,157666946,38.222,5.903,920252.1504,230063.0376
26,603899,晨光文具,0.731,17.92,17.79,18.06,17.77,17.79,1129572,0.50427,20221420,19.292,7.069,1648640.0,401408.0
27,603898,好莱客,0.119,33.7,33.49,34.35,33.4,33.66,1310036,1.50175,44257029,58.103,9.568,1010663.0,293978.58
28,603889,新澳股份,-0.433,16.1,16.26,16.3,16.08,16.17,1328900,0.93623,21471619,19.398,4.517,523507.6,228525.2515
29,603888,新华网,3.632,81.6,78.68,82.99,78.66,78.74,4112647,7.92373,334127222,48.571,10.866,1694111.83104,423527.95776
30,603887,城地股份,-1.706,48.39,49.22,49.22,48.38,49.23,618139,2.51276,30139987,63.671,7.014,474705.9,119039.4
31,603886,元祖股份,-2.48,31.85,32.38,33.49,31.7,32.66,16740277,27.90193,544065381,49.766,11.106,764400.0,191089.951325
32,603885,吉祥航空,-0.165,24.26,24.2,24.44,24.2,24.3,1464461,0.68114,35607170,25.01,4.076,3113967.63943,521590.0
33,603883,老百姓,-0.44,45.25,45.45,45.59,45.16,45.45,361901,0.4302,16377903,46.173,5.553,1208175.0,380657.665525
34,603881,数据港,9.997,42.69,42.69,42.69,42.69,38.81,3744037,7.11118,159832940,92.804,17.103,898993.802652,224762.85
35,603878,武进不锈,-0.826,33.61,33.66,34.49,33.04,33.89,7535632,14.92204,253998667,37.344,4.222,678922.0,169730.5
36,603877,太平鸟,-2.707,39.54,39.5,40.55,39.1,40.64,10164093,18.48017,404032316,30.891,9.195,1878150.0,217470.0
37,603869,北部湾旅,-0.999,29.73,30.18,30.18,29.7,30.03,689118,0.94564,20582048,84.943,3.561,1037001.03476,216651.07224
38,603868,飞科电器,0.263,45.72,45.49,45.96,45.48,45.6,913495,2.09517,41776083,35.719,10.963,1991563.2,199339.2
39,603866,桃李面包,0.259,42.61,42.31,42.63,42.3,42.5,198500,0.33543,8432501,49.547,9.852,1917986.886,252154.64574
40,603861,白云电器,-1.85,29.18,29.0,29.5,28.51,29.73,2010270,4.09424,58597103,61.02,6.606,1193753.8,143273.8
41,603859,能科股份,-1.197,66.04,66.99,67.5,65.73,66.84,878000,3.09264,58454793,145.335,12.994,749950.24,187487.56
42,603858,步长制药,0.011,89.91,89.7,90.56,89.61,89.9,1313439,1.88172,118317782,15.558,6.542,6130063.8,627571.8
43,603843,正平股份,-0.535,18.59,18.75,18.99,18.52,18.69,3086300,3.09559,57710929,64.103,6.209,743605.577,185342.3
44,603839,安正时尚,0.858,41.13,40.38,42.39,40.3,40.78,15599504,21.89097,646047575,36.079,7.235,1172369.52,293092.38
45,603838,四通股份,9.991,23.45,21.5,23.45,21.1,21.32,35555716,36.54987,800669512,49.894,9.559,625364.6,228121.6
46,603828,柯利达,1.709,25.0,24.52,25.2,24.51,24.58,1631506,2.96905,40585556,53.191,4.56,461280.0,137376.1425
47,603823,百合花,-2.472,32.74,32.8,33.43,32.5,33.57,7966855,17.70412,261650165,45.472,8.801,736650.0,147330.0
48,603822,嘉澳环保,-0.314,53.97,54.33,54.58,53.71,54.14,716217,3.90309,38634393,84.606,6.246,395869.95,99034.95
49,603819,神力股份,-1.92,39.84,40.49,41.13,39.68,40.62,3197155,10.65718,128725497,78.118,7.337,478080.0,119520.0
50,603818,曲美家居,-0.67,16.32,16.31,16.48,16.3,16.43,1743412,1.3247,28547621,62.769,5.938,790083.84,214784.256
51,603817,海峡环保,10.043,10.3,10.3,10.3,10.3,9.36,43017,0.03824,443075,41.2,3.887,463500.0,115875.0
52,603816,顾家家居,1.083,48.55,48.09,48.87,47.71,48.03,1353180,1.64022,65416927,32.152,12.119,2002687.5,400537.5
53,603808,歌力思,-0.559,28.48,28.47,28.78,28.36,28.64,681462,0.82066,19399601,26.37,4.351,707651.2464,236493.94704
54,603806,福斯特,-0.254,47.2,47.16,47.48,47.16,47.32,473325,0.52469,22380871,29.317,4.139,1897440.0,425791.2
55,603800,道森股份,-0.906,38.29,38.55,39.35,37.33,38.64,8628755,12.76443,328893381,216.328,8.576,796432.0,258840.4
56,603799,华友钴业,4.424,58.3,56.86,60.95,56.22,55.83,28868774,10.642,1677062401,-124.043,12.771,3455304.76456,1581515.76
57,603798,康普顿,-0.527,52.9,53.45,54.06,52.8,53.18,1126773,4.50709,60173410,47.658,6.993,529000.0,132250.0
58,603789,星光农机,-0.218,27.42,27.45,27.58,27.33,27.48,695399,0.86925,19097840,63.282,4.971,552674.778,219360.0
59,603788,宁波高发,-0.183,38.25,38.27,38.48,38.17,38.32,445490,0.90924,17071053,45.536,6.979,540855.0,187409.7
60,603779,威龙股份,-1.16,33.23,33.42,33.84,33.2,33.62,2447551,4.8756,81847695,118.679,8.827,665264.6,166814.6
61,603778,乾景园林,-0.434,22.94,23.0,23.16,22.88,23.04,1274712,1.40881,29365708,14.705,5.022,458800.0,207564.875278
62,603777,来伊份,0.631,43.05,43.1,44.4,42.87,42.78,6367477,10.61246,277600683,58.973,5.679,1033200.0,258300.0
63,603766,隆鑫通用,-0.046,21.51,21.52,21.66,21.46,21.52,3028314,0.3668,65268363,22.642,3.106,1817791.64442,1775877.9661
64,603738,泰晶科技,-0.597,66.65,66.7,67.13,66.11,67.05,358956,2.15201,23916205,66.65,8.452,444422.2,111172.2
65,603737,三棵树,-1.972,64.13,65.0,65.39,63.4,65.42,904424,3.6177,57917453,41.643,7.161,641300.0,160325.0
66,603729,龙韵股份,0.672,80.9,80.01,81.54,79.96,80.36,354881,1.01893,28607401,124.462,6.63,539360.3,281765.91426
67,603727,博迈科,0.242,45.52,45.31,46.12,44.88,45.41,3516542,5.9907,160007577,36.416,7.191,1065828.04,267202.4
68,603726,朗迪集团,-0.174,45.91,46.0,46.23,45.58,45.99,528774,2.233,24274855,53.384,5.993,434859.52,108714.88
69,603718,海利生物,-0.602,16.52,16.65,16.8,16.49,16.62,1122881,0.38336,18646248,43.474,10.998,1063888.0,483877.408
70,603716,塞力斯,0.196,102.06,101.62,102.9,101.35,101.86,323753,2.54123,33077664,59.684,6.163,519893.64,130024.44
71,603708,家家悦,-1.142,29.42,29.7,30.09,29.02,29.76,7859704,8.733,231948942,31.978,7.165,1059120.0,264780.0
72,603703,盛洋科技,0.143,34.93,34.88,35.1,34.6,34.88,568401,0.59259,19858114,83.167,15.695,802342.1,335044.19375
